OBJECTID;NUM_PAVE;IGDS_LEVEL;LIB_LEVEL;LIB_CLASSE;nom_fichier;igds_basename;igds_style;igds_element_association_id;geom_origine;igds_element_type;igds_symbology;igds_color;igds_color_blue;igds_color_green;igds_color_red;igds_fill_color;igds_fill_color_blue;igds_fill_color_green;igds_fill_color_red;igds_rotation;igds_graphic_group;st_area(shape);st_perimeter(shape);geo_shape;geo_point_2d
739;081D;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;31.110721999336675;25.088776588384864;"{""coordinates"": [[[2.3004313036822235, 48.872244959690285], [2.30035699773869, 48.872268663772935], [2.3003600073339343, 48.8722727742762], [2.3003633071090337, 48.8722717242439], [2.3003792131546787, 48.87229355794205], [2.3003759667865387, 48.87229459030007], [2.3003789639946985, 48.872298709723786], [2.3004126650078898, 48.872288023740566], [2.300484078802923, 48.872265371142255], [2.3004620741273136, 48.87223513702275], [2.3004313036822235, 48.872244959690285]]], ""type"": ""Polygon""}";48.872266580640854, 2.300421754534695
771;182G;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;20.299816450933296;21.25776228927199;"{""coordinates"": [[[2.349702970779044, 48.88690952675025], [2.3497037539336683, 48.88694160099412], [2.3497047314096275, 48.886982903383995], [2.349708823199828, 48.88698285456012], [2.349738535418198, 48.88698203386148], [2.3497378039903363, 48.886941775127916], [2.349737205049532, 48.88690914430226], [2.349702970779044, 48.88690952675025]]], ""type"": ""Polygon""}";48.886945841462655, 2.3497208428004948
778;083B;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;12.107980354903844;16.38946681431057;"{""coordinates"": [[[2.326793112914748, 48.875352980229366], [2.326772798872491, 48.87536207970683], [2.3267702010972227, 48.87535958292318], [2.326767992320384, 48.87536063981432], [2.3267927053401665, 48.875384301891536], [2.326809558729267, 48.875400435469956], [2.3268099506073288, 48.87540070747525], [2.3268103563511655, 48.875400961571735], [2.326810803343517, 48.87540118892003], [2.326811277939456, 48.875401390342766], [2.3268117802785615, 48.87540155504865], [2.326812310116645, 48.8754017019224], [2.3268128404197608, 48.875401812825196], [2.3268133984543153, 48.875401887910456], [2.3268139569538, 48.87540192702479], [2.326814515801879, 48.8754019391609], [2.3268150887366694, 48.87540191630205], [2.3268156347651656, 48.875401865412435], [2.326816194891892, 48.87540177862852], [2.326816728216931, 48.87540165572036], [2.3268172346241527, 48.875401505680664], [2.3268177277468602, 48.87540132858615], [2.3268221431899394, 48.875399483692384], [2.326832911612882, 48.87539451964555], [2.3268333518294546, 48.87539421634607], [2.3268337663753242, 48.87539389491543], [2.326834138890486, 48.87539355526173], [2.326834470842795, 48.875393189299075], [2.3268347485061693, 48.87539280414501], [2.3268349717525547, 48.87539240969157], [2.3268351405821566, 48.875392005938764], [2.3268352686280744, 48.87539159296318], [2.3268353436205613, 48.87539117069587], [2.3268353627165865, 48.87539074811427], [2.3268353272794013, 48.875390325225965], [2.3268350342048176, 48.8753897929683], [2.3268114228501813, 48.875367288248526], [2.3267923343422816, 48.87534908171576], [2.3267901255546133, 48.87535013950659], [2.326793112914748, 48.875352980229366]]], ""type"": ""Polygon""}";48.875377365882876, 2.3268037311757075
825;111C;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;7.564424105376128;12.682899355933904;"{""coordinates"": [[[2.375129134884481, 48.86841000256807], [2.3751221892634455, 48.868419201623745], [2.3751202489894676, 48.86841855206363], [2.3751183661231208, 48.868420844542584], [2.375146658662477, 48.86843017090793], [2.375172888673494, 48.86843881199473], [2.3751831118875213, 48.86842469447132], [2.375156013240188, 48.8684157340831], [2.375129296245374, 48.86840689259526], [2.3751273153810097, 48.8684093995049], [2.375129134884481, 48.86841000256807]]], ""type"": ""Polygon""}";48.868423021029535, 2.375151510682454
798;124D;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;11.586858322611679;14.662577888897228;"{""coordinates"": [[[2.3730060365244268, 48.84481156627892], [2.373028261289111, 48.84479941100511], [2.3730269398103374, 48.84479836981691], [2.373025644111499, 48.844797337757406], [2.373023823255594, 48.84479589823422], [2.373021462482191, 48.84479403228335], [2.3730200452373986, 48.844792909650934], [2.373019100227288, 48.84479217621766], [2.3730167393460313, 48.84479031925973], [2.3730143648286592, 48.84478846312964], [2.3730119889598207, 48.844786606093066], [2.3730096144428883, 48.8447847499629], [2.373007239936843, 48.84478289293337], [2.3730048790456113, 48.84478103687449], [2.3730025031774478, 48.84477917983769], [2.3730016392706297, 48.84477850079086], [2.3730001286610904, 48.84477732370733], [2.372997754155824, 48.844775466677596], [2.372995391902709, 48.84477361061137], [2.372993017397677, 48.84477175358152], [2.372990642990294, 48.84476988845791], [2.3729882683775076, 48.84476804042103], [2.3729859061249647, 48.844766184354604], [2.3729835316207124, 48.84476432732456], [2.372973243162012, 48.844769820646086], [2.37296295607452, 48.844775313074464], [2.3729613774116185, 48.84477616818466], [2.372959800013738, 48.844777031395694], [2.3730027412582357, 48.84481137723102], [2.3730030397174198, 48.844811486718314], [2.3730033520183613, 48.844811578290916], [2.3730036781610604, 48.84481165194895], [2.373004018253608, 48.84481169869929], [2.373004358562541, 48.84481172746361], [2.3730046990878626, 48.84481173824187], [2.3730050399269444, 48.844811722940385], [2.37300538088514, 48.84481169774656], [2.373005708542443, 48.84481164550229], [2.3730060365244268, 48.84481156627892]]], ""type"": ""Polygon""}";48.84478837440164, 2.3729940235604334
817;121F;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;14.109611721713392;16.52858157545919;"{""coordinates"": [[[2.4405453687543335, 48.844544082440386], [2.4405802035705855, 48.844540924025544], [2.4406055877390713, 48.84453861896517], [2.440605353872935, 48.84453755663481], [2.440602476026645, 48.844537812984235], [2.440597915881318, 48.84451542474644], [2.440600439177561, 48.84451519371987], [2.440600219033541, 48.844514122460154], [2.4405512398121094, 48.844518606036814], [2.44053665918275, 48.84451994713823], [2.4405285437180737, 48.84452068982477], [2.4405337481030376, 48.84454513160337], [2.4405453687543335, 48.844544082440386]]], ""type"": ""Polygon""}";48.84452974823694, 2.44056580747634
824;111C;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;6.773528804878869;12.235989035011515;"{""coordinates"": [[[2.380461462448818, 48.86943116146258], [2.380463952960126, 48.86943255124034], [2.380498257275388, 48.86940568389854], [2.380497676428963, 48.869405348137086], [2.38050101899489, 48.86940283919641], [2.380504253666209, 48.86940034678464], [2.380489835874871, 48.86939220239979], [2.3804865875822525, 48.869394693841386], [2.380483409977264, 48.869397087620825], [2.3804830715357, 48.8693968880147], [2.380448775433259, 48.869424096244046], [2.380451294677585, 48.86942547717744], [2.380461462448818, 48.86943116146258]]], ""type"": ""Polygon""}";48.869412366541894, 2.380476591003839
835;043A;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;5.949010858886224;11.631814744918039;"{""coordinates"": [[[2.362856988126101, 48.8539065186745], [2.36285393557901, 48.853907500701354], [2.362855356473601, 48.853909441874954], [2.3629046722065694, 48.85389367080871], [2.362895482728796, 48.85388116405067], [2.3628461656421917, 48.85389693510605], [2.3628476001639367, 48.853898876352325], [2.3628506513368506, 48.85389789521769], [2.362856988126101, 48.8539065186745]]], ""type"": ""Polygon""}";48.853894972211, 2.362876453581331
903;083B;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;8.92090318532222;13.909419877842463;"{""coordinates"": [[[2.325374684273418, 48.871106681400335], [2.3253929631986656, 48.87110081728757], [2.3253951188645567, 48.87110374420409], [2.3253990492981873, 48.87110248119615], [2.3253731967239033, 48.87106732680544], [2.3253463606094096, 48.87107590276458], [2.325373105017949, 48.87111156491959], [2.3253772955118532, 48.87111022243735], [2.325374684273418, 48.871106681400335]]], ""type"": ""Polygon""}";48.871088211134264, 2.3253720514169904
934;111A;47;ACCES METRO-PARKING - PIETONS;Accès métro-parking (piétons);;;;;;;;;;;;;;;;;;17.041248744038786;17.171019090225734;"{""coordinates"": [[[2.3674629854625024, 48.865452964085534], [2.367460433121856, 48.86545109705113], [2.3674050014709556, 48.86548399521253], [2.3674334048910923, 48.8655048275181], [2.36748883666633, 48.86547191945197], [2.367486270791334, 48.86547004425251], [2.3674629854625024, 48.865452964085534]]], ""type"": ""Polygon""}";48.865477960726345, 2.3674469175631225
