list_id,first_publication_date,price,Latitude,Longitude,urls
2906162446,2024-12-20 11:42:13,805,48.82464,2.33895,https://www.leboncoin.fr/ad/locations/2906162446
2915714458,2025-01-08 07:42:00,809,48.88675292439851,2.3586152922729062,https://www.leboncoin.fr/ad/locations/2915714458
2926569533,2025-01-27 08:55:00,810,48.8821174738013,2.3454444411046764,https://www.leboncoin.fr/ad/locations/2926569533
2893115406,2024-11-29 11:35:00,810,48.84181966467918,2.2679903253115836,https://www.leboncoin.fr/ad/locations/2893115406
2927937315,2025-01-30 11:35:40,810,48.88127146412362,2.357734564128287,https://www.leboncoin.fr/ad/locations/2927937315
2860311506,2024-12-31 10:28:13,814,48.83249,2.33423,https://www.leboncoin.fr/ad/locations/2860311506
2879824839,2024-11-09 15:15:00,815,48.85606298882579,2.278594833038354,https://www.leboncoin.fr/ad/locations/2879824839
2934682532,2025-02-11 09:38:32,815,48.85738,2.30323,https://www.leboncoin.fr/ad/locations/2934682532
2897379329,2024-12-06 09:51:00,815,48.884276992157766,2.3633211339760916,https://www.leboncoin.fr/ad/locations/2897379329
2895195986,2024-12-02 11:24:00,820,48.84556121385727,2.294841005051637,https://www.leboncoin.fr/ad/locations/2895195986
2930486046,2025-02-03 17:55:00,820,48.87143277376574,2.3556516292586904,https://www.leboncoin.fr/ad/locations/2930486046
2928829572,2025-01-31 17:55:00,820,48.872406146359374,2.3749936339072066,https://www.leboncoin.fr/ad/locations/2928829572
2934797244,2025-02-11 12:57:59,820,48.86398,2.37058,https://www.leboncoin.fr/ad/locations/2934797244
2934473566,2025-02-10 18:41:05,820,48.862459099006706,2.3784792492812397,https://www.leboncoin.fr/ad/locations/2934473566
2930995091,2025-02-04 17:49:55,820,48.87126,2.35438,https://www.leboncoin.fr/ad/locations/2930995091
2921108716,2025-01-18 14:07:05,820,48.8841,2.31994,https://www.leboncoin.fr/ad/locations/2921108716
2906290247,2024-12-20 16:05:44,820,48.87243,2.38439,https://www.leboncoin.fr/ad/locations/2906290247
2933080968,2025-02-08 15:46:02,825,48.89205,2.32151,https://www.leboncoin.fr/ad/locations/2933080968
2929783226,2025-02-02 15:43:50,825,48.86571,2.40337,https://www.leboncoin.fr/ad/locations/2929783226
2865524221,2024-10-16 12:35:00,830,48.8692469008446,2.32336335899073,https://www.leboncoin.fr/ad/locations/2865524221
2907708044,2024-12-23 08:33:00,830,48.888699595889605,2.3222165391767375,https://www.leboncoin.fr/ad/locations/2907708044
2877967146,2024-11-06 11:50:00,830,48.88516453165536,2.3145016318383185,https://www.leboncoin.fr/ad/locations/2877967146
2927072312,2025-01-28 16:48:05,830,48.87023,2.36665,https://www.leboncoin.fr/ad/locations/2927072312
2925378819,2025-01-25 18:45:50,833,48.87527,2.38568,https://www.leboncoin.fr/ad/locations/2925378819
2894920100,2024-12-02 07:10:00,835,48.83111051147565,2.326241844248072,https://www.leboncoin.fr/ad/locations/2894920100
2878446574,2024-11-07 09:22:00,835,48.866539422609435,2.3708635373458677,https://www.leboncoin.fr/ad/locations/2878446574
2882693559,2024-11-13 22:42:00,835,48.865345281736175,2.372219899022379,https://www.leboncoin.fr/ad/locations/2882693559
2923296713,2025-01-21 18:01:00,835,48.82836688657333,2.329457135293042,https://www.leboncoin.fr/ad/locations/2923296713
2931852746,2025-02-06 12:18:06,839,48.88026,2.33149,https://www.leboncoin.fr/ad/locations/2931852746
2931292745,2025-02-05 11:18:32,839,48.860858317893005,2.384439071191208,https://www.leboncoin.fr/ad/locations/2931292745
2895627821,2024-12-03 11:01:00,840,48.88338207349875,2.3072825589654156,https://www.leboncoin.fr/ad/locations/2895627821
2907708046,2024-12-23 11:40:00,840,48.848596137651064,2.3951109355475775,https://www.leboncoin.fr/ad/locations/2907708046
2931557989,2025-02-05 09:26:00,840,48.83292,2.3248,https://www.leboncoin.fr/ad/locations/2931557989
2900141702,2024-12-09 08:49:00,840,48.82878053217138,2.3115621947347824,https://www.leboncoin.fr/ad/locations/2900141702
2933307857,2025-02-08 21:24:29,840,48.83961611291478,2.2850336959272957,https://www.leboncoin.fr/ad/locations/2933307857
2933222142,2025-02-08 18:35:16,840,48.88112,2.29568,https://www.leboncoin.fr/ad/locations/2933222142
2923987275,2025-01-23 10:28:00,840,48.87461823835703,2.348108554901947,https://www.leboncoin.fr/ad/locations/2923987275
2934115680,2025-01-01 07:43:00,840,48.87742503554894,2.38779438189974,https://www.leboncoin.fr/ad/locations/2934115680
2929576860,2025-02-02 11:30:13,841,48.87195,2.38509,https://www.leboncoin.fr/ad/locations/2929576860
2843852640,2024-09-10 07:37:00,844,48.83903504022358,2.2970164404123414,https://www.leboncoin.fr/ad/locations/2843852640
2843852644,2024-09-10 09:38:00,844,48.83762289909033,2.2985363433010635,https://www.leboncoin.fr/ad/locations/2843852644
2934841757,2025-02-11 10:40:00,845,48.849964018370585,2.393032729715259,https://www.leboncoin.fr/ad/locations/2934841757
2934415573,2025-02-10 17:25:02,845,48.8666,2.3864,https://www.leboncoin.fr/ad/locations/2934415573
2881299419,2024-11-11 11:32:00,847,48.888694957193394,2.3194563625519735,https://www.leboncoin.fr/ad/locations/2881299419
2924080760,2025-01-23 15:05:06,850,48.89958,2.39048,https://www.leboncoin.fr/ad/locations/2924080760
2935180948,2025-02-12 06:51:13,850,48.84099,2.29727,https://www.leboncoin.fr/ad/locations/2935180948
